Tissue	kegg_pathway_ID	kegg_pathway_Name	IDs	S	B	Rich.Factor	P.value	Sig.Sign.P
Cerebellum	ko04930	Type II diabetes mellitus	C00002|Adenosine triphosphate	1	6	0.1667	0.052991955	ns
Cerebellum	ko05140	Leishmaniasis	C02737|PS(18:0/18:1)	1	6	0.1667	0.052991955	ns
Cerebellum	ko04140	Autophagy - animal	C00350|PE(18:2(9Z,12Z)/18:1(11Z))	1	6	0.1667	0.052991955	ns
Cerebellum	ko05030	Cocaine addiction	C00082|L-Tyrosine	1	7	0.1429	0.061551479	ns
Cerebellum	ko04361	Axon regeneration	C00078|L-Tryptophan	1	7	0.1429	0.061551479	ns
Cerebellum	ko00460	Cyanoamino acid metabolism	C00082|L-Tyrosine, C00065|Serine	2	45	0.0444	0.061955699	ns
Cerebellum	ko00230	Purine metabolism	C00002|Adenosine triphosphate, C00362|2'-Deoxyguanosine 5'-Monophosphate, C02350|Allantoin	3	101	0.0297	0.062575829	ns
Cerebellum	ko05031	Amphetamine addiction	C00082|L-Tyrosine	1	9	0.1111	0.078443062	ns
Cerebellum	ko01110	Biosynthesis of secondary metabolites	C00082|L-Tyrosine, C00157|PC(14:1(9Z)/14:1(9Z)), C00408|PIPECOLATE, C00065|Serine, C00002|Adenosine triphosphate, C00078|L-Tryptophan, C00408|L-Pipecolic acid, C09183|sclareol, C00157|PC(14:0/P-18:1(11Z)), C00157|PC(14:0/P-18:0), C00157|PC(18:1/24:0), C00398|Tryptamine, C11918|LARIXINIC ACID, C00157|PC(20:3(5Z,8Z,11Z)/P-18:1(9Z)), C00267|alpha-D-Glucose, C02737|PS(18:0/18:1), C00157|PC(20:5(5Z,8Z,11Z,14Z,17Z)/P-18:1(11Z)), C00624|N-ACETYLGLUTAMATE, C00157|PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:0), C00157|PC(22:0/20:2(11Z,14Z)), C01514|Luteolin, C00350|PE(18:2(9Z,12Z)/18:1(11Z)), C00077|L-Ornithine, C00157|PC(22:0/18:1(11Z)), C00157|PC(20:3(5Z,8Z,11Z)/14:0), C00157|PC(16:1(9Z)/18:2(9Z,12Z))	26	2273	0.0114	0.08644676	ns
Cerebellum	ko05034	Alcoholism	C00082|L-Tyrosine	1	10	0.1	0.086776442	ns
Cerebellum	ko04217	Necroptosis	C00002|Adenosine triphosphate	1	10	0.1	0.086776442	ns
Cerebellum	ko05133	Pertussis	C00002|Adenosine triphosphate	1	10	0.1	0.086776442	ns
