Tissue	kegg_pathway_ID	kegg_pathway_Name	IDs	S	B	Rich.Factor	P.value	Sig.Sign.P
Heart	ko05167	Kaposi sarcoma-associated herpesvirus infection	C00350|PE(20:4/22:6), C00350|PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00350|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0), C00350|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)	4	5	0.8	4.17E-08	****
Heart	ko00590	Arachidonic acid metabolism	C00157|PC(18:3(6Z,9Z,12Z)/P-16:0), C00157|PC(18:1(9Z)/P-16:0), C00157|PC(14:0/P-18:0), C00157|PC(22:4/22:6), C00157|PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)), C00157|PC(22:4(7Z,10Z,13Z,16Z)/20:3(5Z,8Z,11Z)), C00157|PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0), C00157|PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z)), C00157|PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)	9	79	0.1139	5.60E-08	****
Heart	ko04140	Autophagy - animal	C00350|PE(20:4/22:6), C00350|PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00350|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0), C00350|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0)	4	6	0.6667	1.24E-07	****
Heart	ko01060	Biosynthesis of plant secondary metabolites	C00065|Serine, C00130|INOSINE 5'-PHOSPHATE, C00183|Valine, C00037|Glycine, C00082|Tyrosine, C00135|Histidine, C00152|L-Asparagine, C00408|L-Pipecolic acid, C00025|L-Glutamate, C00073|Methionine	10	141	0.0709	8.94E-07	****
Heart	ko00470	D-Amino acid metabolism	C00065|Serine, C00037|Glycine, C00135|Histidine, C05942|Pyrrole-2-Carboxylate, C00025|L-Glutamate, C00073|Methionine, C05942|Pyrrole-2-carboxylic acid	7	69	0.1014	4.16E-06	****
Heart	ko00460	Cyanoamino acid metabolism	C00065|Serine, C00183|Valine, C00037|Glycine, C00561|Mandelonitrile, C00082|Tyrosine, C00152|L-Asparagine	6	45	0.1333	4.22E-06	****
Heart	ko00340	Histidine metabolism	C05570|Ergothioneine, C00386|L-Carnosine, C00135|Histidine, C05828|Methylimidazoleacetic acid, C02835|4-IMIDAZOLEACETIC ACID, C00025|L-Glutamate	6	47	0.1277	5.48E-06	****
Heart	ko04978	Mineral absorption	C00065|Serine, C00183|Valine, C00037|Glycine, C00152|L-Asparagine, C00073|Methionine	5	29	0.1724	7.66E-06	****
Heart	ko02010	ABC transporters	C00065|Serine, C00183|Valine, C00037|Glycine, C00475|Cytidine, C00135|Histidine, C00095|D-(-)-Fructose, C00120|D-Biotin, C00025|L-Glutamate	8	138	0.058	5.30E-05	****
Heart	ko00430	Taurine and hypotaurine metabolism	C05123|2-Hydroxyethanesulfonate, C00094|Sulfite, C01959|Taurocyamine, C00025|L-Glutamate	4	24	0.1667	7.71E-05	****
Heart	ko00730	Thiamine metabolism	C00037|Glycine, C00082|Tyrosine, C01081|Thiamine monophosphate, C00003|脦虏-Nicotinamide Adenine Dinucleotide	4	31	0.129	0.000216851	***
Heart	ko01240	Biosynthesis of cofactors	C00065|Serine, C00130|INOSINE 5'-PHOSPHATE, C00183|Valine, C00037|Glycine, C00082|Tyrosine, C01081|Thiamine monophosphate, C00015|Uridine 5'-diphosphate, C00120|D-Biotin, C00003|脦虏-Nicotinamide Adenine Dinucleotide, C00025|L-Glutamate, C00073|Methionine	11	328	0.0335	0.000293747	***
Heart	ko01523	Antifolate resistance	C00130|INOSINE 5'-PHOSPHATE, C00364|THYMIDINE 5'-MONOPHOSPHATE, C00073|Methionine	3	17	0.1765	0.000554485	***
Heart	ko04148	Efferocytosis	C04230|PC(14:0/0:0), C00003|脦虏-Nicotinamide Adenine Dinucleotide, C00073|Methionine	3	18	0.1667	0.000660742	***
Heart	ko00260	Glycine, serine and threonine metabolism	C00065|Serine, C00037|Glycine, C03283|L-2,4-diaminobutyric acid, C00258|Glyceric acid	4	48	0.0833	0.001183882	**
Heart	ko05030	Cocaine addiction	C00082|Tyrosine, C00025|L-Glutamate	2	7	0.2857	0.001926485	**
Heart	ko01232	Nucleotide metabolism	C00130|INOSINE 5'-PHOSPHATE, C00475|Cytidine, C00364|THYMIDINE 5'-MONOPHOSPHATE, C00015|Uridine 5'-diphosphate	4	58	0.069	0.002399413	**
Heart	ko01210	2-Oxocarboxylic acid metabolism	C00183|Valine, C00082|Tyrosine, C03283|L-2,4-diaminobutyric acid, C00956|2-Aminoadipic acid, C00025|L-Glutamate, C00073|Methionine	6	144	0.0417	0.002718042	**
Heart	ko05031	Amphetamine addiction	C00082|Tyrosine, C00025|L-Glutamate	2	9	0.2222	0.003261002	**
Heart	ko00630	Glyoxylate and dicarboxylate metabolism	C00065|Serine, C00037|Glycine, C00258|Glyceric acid, C00025|L-Glutamate	4	64	0.0625	0.003439362	**
Heart	ko00240	Pyrimidine metabolism	C00475|Cytidine, C00364|THYMIDINE 5'-MONOPHOSPHATE, C00015|Uridine 5'-diphosphate, C02170|Methylmalonic acid	4	64	0.0625	0.003439362	**
Heart	ko04742	Taste transduction	C00130|INOSINE 5'-PHOSPHATE, C00095|D-(-)-Fructose, C00025|L-Glutamate	3	32	0.0938	0.003642375	**
Heart	ko05034	Alcoholism	C00082|Tyrosine, C00025|L-Glutamate	2	10	0.2	0.00405056	**
Heart	ko04721	Synaptic vesicle cycle	C00037|Glycine, C00025|L-Glutamate	2	12	0.1667	0.005866244	**
Heart	ko00480	Glutathione metabolism	C00037|Glycine, C01879|PYROGLUTAMATE, C00025|L-Glutamate	3	38	0.0789	0.005941828	**
Heart	ko00280	Valine, leucine and isoleucine degradation	C00183|Valine, C02170|Methylmalonic acid, C06001|3-Hydroxyisobutyric acid	3	42	0.0714	0.007864463	**
Heart	ko00052	Galactose metabolism	C00446|Galactose 1-phosphate, C00095|D-(-)-Fructose, C01132|N-Acetyl-D-galactosamine	3	46	0.0652	0.010114896	*
Heart	ko00680	Methane metabolism	C00065|Serine, C00037|Glycine, C00082|Tyrosine, C00258|Glyceric acid	4	88	0.0455	0.010601147	*
Heart	ko00650	Butanoate metabolism	C00246|Butanoate, C01089|3-HYDROXYBUTANOIC ACID, C00025|L-Glutamate	3	47	0.0638	0.010730012	*
Heart	ko00311	Penicillin and cephalosporin biosynthesis	C00183|Valine, C00956|2-Aminoadipic acid	2	18	0.1111	0.013094677	*
Heart	ko04931	Insulin resistance	C00095|D-(-)-Fructose, C02571|Acetyl-L-carnitine	2	19	0.1053	0.014543561	*
Heart	ko04080	Neuroactive ligand-receptor interaction	C00037|Glycine, C00015|Uridine 5'-diphosphate, C00025|L-Glutamate	3	53	0.0566	0.01487196	*
Heart	ko00310	Lysine degradation	C00037|Glycine, C00956|2-Aminoadipic acid, C00408|L-Pipecolic acid	3	56	0.0536	0.01723745	*
Heart	ko00220	Arginine biosynthesis	C00327|Dl-Citrulline, C00025|L-Glutamate	2	23	0.087	0.02098456	*
Heart	ko01502	Vancomycin resistance	C00065|Serine, C00037|Glycine	2	24	0.0833	0.022749376	*
Heart	ko01200	Carbon metabolism	C00065|Serine, C00037|Glycine, C00258|Glyceric acid, C00025|L-Glutamate	4	114	0.0351	0.025138354	*
Heart	ko00270	Cysteine and methionine metabolism	C00065|Serine, C00094|Sulfite, C00073|Methionine	3	67	0.0448	0.02761794	*
Heart	ko00997	Biosynthesis of various other secondary metabolites	C00065|Serine, C00082|Tyrosine, C00025|L-Glutamate	3	67	0.0448	0.02761794	*
Heart	ko00520	Amino sugar and nucleotide sugar metabolism	C00446|Galactose 1-phosphate, C03691|CMP-N-glycoloylneuraminate, C00095|D-(-)-Fructose, C01132|N-Acetyl-D-galactosamine	4	118	0.0339	0.028088451	*
Heart	ko04973	Carbohydrate digestion and absorption	C00246|Butanoate, C00095|D-(-)-Fructose	2	27	0.0741	0.028393734	*
Heart	ko00250	Alanine, aspartate and glutamate metabolism	C00152|L-Asparagine, C00025|L-Glutamate	2	28	0.0714	0.030387582	*
Heart	ko00410	beta-Alanine metabolism	C00386|L-Carnosine, C00135|Histidine	2	32	0.0625	0.038892122	*
Heart	ko00966	Glucosinolate biosynthesis	C00183|Valine, C00082|Tyrosine, C00073|Methionine	3	77	0.039	0.039379989	*
Heart	ko00920	Sulfur metabolism	C00065|Serine, C00094|Sulfite	2	33	0.0606	0.041144593	*
Heart	ko01065	Biosynthesis of alkaloids derived from histidine and purine	C00130|INOSINE 5'-PHOSPHATE, C00135|Histidine	2	35	0.0571	0.045793052	*
Heart	ko04068	FoxO signaling pathway	C00025|L-Glutamate	1	5	0.2	0.048104514	*
Heart	ko00261	Monobactam biosynthesis	C00065|Serine, C00082|Tyrosine	2	39	0.0513	0.055633	ns
Heart	ko04977	Vitamin digestion and absorption	C00120|D-Biotin, C00003|脦虏-Nicotinamide Adenine Dinucleotide	2	39	0.0513	0.055633	ns
Heart	ko02026	Biofilm formation - Escherichia coli	C00037|Glycine	1	6	0.1667	0.057448456	ns
Heart	ko04916	Melanogenesis	C00082|Tyrosine	1	6	0.1667	0.057448456	ns
Heart	ko05016	Huntington disease	C00025|L-Glutamate	1	6	0.1667	0.057448456	ns
Heart	ko04720	Long-term potentiation	C00025|L-Glutamate	1	7	0.1429	0.066702117	ns
Heart	ko05017	Spinocerebellar ataxia	C00025|L-Glutamate	1	7	0.1429	0.066702117	ns
Heart	ko05033	Nicotine addiction	C00025|L-Glutamate	1	7	0.1429	0.066702117	ns
Heart	ko04211	Longevity regulating pathway	C00003|脦虏-Nicotinamide Adenine Dinucleotide	1	8	0.125	0.075866358	ns
Heart	ko04724	Glutamatergic synapse	C00025|L-Glutamate	1	8	0.125	0.075866358	ns
Heart	ko04713	Circadian entrainment	C00025|L-Glutamate	1	9	0.1111	0.084942027	ns
Heart	ko04727	GABAergic synapse	C00025|L-Glutamate	1	9	0.1111	0.084942027	ns
Heart	ko04730	Long-term depression	C00025|L-Glutamate	1	9	0.1111	0.084942027	ns
Heart	ko01110	Biosynthesis of secondary metabolites	C00065|Serine, C00130|INOSINE 5'-PHOSPHATE, C00183|Valine, C00037|Glycine, C00561|Mandelonitrile, C00082|Tyrosine, C00135|Histidine, C00157|PC(18:3(6Z,9Z,12Z)/P-16:0), C00956|2-Aminoadipic acid, C00157|PC(18:1(9Z)/P-16:0), C00157|PC(14:0/P-18:0), C00152|L-Asparagine, C00095|D-(-)-Fructose, C00157|PC(22:4/22:6), C00327|Dl-Citrulline, C00258|Glyceric acid, C00408|L-Pipecolic acid, C00350|PE(20:4/22:6), C00350|PE(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)), C00350|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0), C00157|PC(22:5(4Z,7Z,10Z,13Z,16Z)/20:5(5Z,8Z,11Z,14Z,17Z)), C00157|PC(22:4(7Z,10Z,13Z,16Z)/20:3(5Z,8Z,11Z)), C00157|PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0), C00025|L-Glutamate, C00157|PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/20:5(5Z,8Z,11Z,14Z,17Z)), C00350|PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/16:0), C00073|Methionine, C00157|PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)	28	2273	0.0123	0.085484958	ns
Heart	ko00998	Biosynthesis of various antibiotics	C00065|Serine, C00082|Tyrosine, C00025|L-Glutamate	3	108	0.0278	0.089050359	ns
Heart	ko04212	Longevity regulating pathway - worm	C00003|脦虏-Nicotinamide Adenine Dinucleotide	1	10	0.1	0.093929968	ns
Heart	ko04917	Prolactin signaling pathway	C00082|Tyrosine	1	11	0.0909	0.102831015	ns
Heart	ko04936	Alcoholic liver disease	C00003|脦虏-Nicotinamide Adenine Dinucleotide	1	11	0.0909	0.102831015	ns
Heart	ko04072	Phospholipase D signaling pathway	C00025|L-Glutamate	1	11	0.0909	0.102831015	ns
Heart	ko04540	Gap junction	C00025|L-Glutamate	1	11	0.0909	0.102831015	ns
Heart	ko00440	Phosphonate and phosphinate metabolism	C00037|Glycine, C05682|Phosphonoacetic acid	2	56	0.0357	0.104143754	ns
Heart	ko02060	Phosphotransferase system (PTS)	C00095|D-(-)-Fructose, C01132|N-Acetyl-D-galactosamine	2	57	0.0351	0.107273707	ns
Heart	ko05208	Chemical carcinogenesis - reactive oxygen species	C20319|N-Hydroxy-4-aminobiphenyl, C00003|脦虏-Nicotinamide Adenine Dinucleotide	2	57	0.0351	0.107273707	ns
Heart	ko04728	Dopaminergic synapse	C00082|Tyrosine	1	12	0.0833	0.111645994	ns
Heart	ko05014	Amyotrophic lateral sclerosis	C00025|L-Glutamate	1	14	0.0714	0.129021017	ns
Heart	ko04071	Sphingolipid signaling pathway	C00065|Serine	1	15	0.0667	0.137582677	ns
Heart	ko01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	C00408|L-Pipecolic acid, C00025|L-Glutamate	2	67	0.0299	0.13984388	ns
Heart	ko01070	Biosynthesis of plant hormones	C00130|INOSINE 5'-PHOSPHATE, C00073|Methionine	2	68	0.0294	0.143212028	ns
Heart	ko00190	Oxidative phosphorylation	C00003|脦虏-Nicotinamide Adenine Dinucleotide	1	16	0.0625	0.146061499	ns
Heart	ko04964	Proximal tubule bicarbonate reclamation	C00025|L-Glutamate	1	17	0.0588	0.154458272	ns
Heart	ko01063	Biosynthesis of alkaloids derived from shikimate pathway	C00183|Valine, C00082|Tyrosine, C09642|salsolinol	3	143	0.021	0.1647393	ns
Heart	ko01055	Biosynthesis of vancomycin group antibiotics	C00082|Tyrosine	1	19	0.0526	0.17100879	ns
Heart	ko00910	Nitrogen metabolism	C00025|L-Glutamate	1	19	0.0526	0.17100879	ns
Heart	ko00350	Tyrosine metabolism	C00082|Tyrosine, C05589|Normetanephrine	2	78	0.0256	0.177749824	ns
Heart	ko04152	AMPK signaling pathway	C00003|脦虏-Nicotinamide Adenine Dinucleotide	1	22	0.0455	0.195238496	ns
Heart	ko04925	Aldosterone synthesis and secretion	C00003|脦虏-Nicotinamide Adenine Dinucleotide	1	22	0.0455	0.195238496	ns
Heart	ko00290	Valine, leucine and isoleucine biosynthesis	C00183|Valine	1	23	0.0435	0.203159129	ns
Heart	ko00965	Betalain biosynthesis	C00082|Tyrosine	1	23	0.0435	0.203159129	ns
Heart	ko04024	cAMP signaling pathway	C01089|3-HYDROXYBUTANOIC ACID	1	25	0.04	0.218770934	ns
Heart	ko05012	Parkinson disease	C00082|Tyrosine	1	26	0.0385	0.226463562	ns
Heart	ko00930	Caprolactam degradation	C06103|6-Hydroxyhexanoic acid	1	26	0.0385	0.226463562	ns
Heart	ko00780	Biotin metabolism	C00120|D-Biotin	1	29	0.0345	0.249096938	ns
Heart	ko04216	Ferroptosis	C00025|L-Glutamate	1	29	0.0345	0.249096938	ns
Heart	ko00770	Pantothenate and CoA biosynthesis	C00183|Valine	1	30	0.0333	0.256495577	ns
Heart	ko00230	Purine metabolism	C00130|INOSINE 5'-PHOSPHATE, C00037|Glycine	2	101	0.0198	0.260720685	ns
Heart	ko00401	Novobiocin biosynthesis	C00082|Tyrosine	1	32	0.0312	0.271078279	ns
Heart	ko00332	Carbapenem biosynthesis	C00025|L-Glutamate	1	32	0.0312	0.271078279	ns
Heart	ko05022	Pathways of neurodegeneration - multiple diseases	C00025|L-Glutamate	1	32	0.0312	0.271078279	ns
Heart	ko00600	Sphingolipid metabolism	C00065|Serine	1	35	0.0286	0.292426075	ns
Heart	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	C00082|Tyrosine	1	35	0.0286	0.292426075	ns
Heart	ko00300	Lysine biosynthesis	C00956|2-Aminoadipic acid	1	35	0.0286	0.292426075	ns
Heart	ko04750	Inflammatory mediator regulation of TRP channels	C19317|Allyl isothiocyanate	1	35	0.0286	0.292426075	ns
Heart	ko00660	C5-Branched dibasic acid metabolism	C00025|L-Glutamate	1	35	0.0286	0.292426075	ns
Heart	ko00500	Starch and sucrose metabolism	C00095|D-(-)-Fructose	1	37	0.027	0.306314865	ns
Heart	ko00030	Pentose phosphate pathway	C00258|Glyceric acid	1	37	0.027	0.306314865	ns
Heart	ko01250	Biosynthesis of nucleotide sugars	C00446|Galactose 1-phosphate, C03691|CMP-N-glycoloylneuraminate, C01132|N-Acetyl-D-galactosamine	3	200	0.015	0.312673602	ns
Heart	ko00561	Glycerolipid metabolism	C00258|Glyceric acid	1	38	0.0263	0.313158299	ns
Heart	ko05415	Diabetic cardiomyopathy	C00095|D-(-)-Fructose	1	39	0.0256	0.31993528	ns
Heart	ko00908	Zeatin biosynthesis	C00015|Uridine 5'-diphosphate	1	39	0.0256	0.31993528	ns
Heart	ko00946	Degradation of flavonoids	C14131|Equol	1	40	0.025	0.326646445	ns
Heart	ko00640	Propanoate metabolism	C02170|Methylmalonic acid	1	41	0.0244	0.333292422	ns
Heart	ko00785	Lipoic acid metabolism	C00037|Glycine	1	44	0.0227	0.352845431	ns
Heart	ko00120	Primary bile acid biosynthesis	C00037|Glycine	1	47	0.0213	0.371833833	ns
Heart	ko00404	Staurosporine biosynthesis	C00135|Histidine	1	48	0.0208	0.378040619	ns
Heart	ko00360	Phenylalanine metabolism	C00082|Tyrosine	1	49	0.0204	0.384187041	ns
Heart	ko00983	Drug metabolism - other enzymes	C00003|脦虏-Nicotinamide Adenine Dinucleotide	1	52	0.0192	0.402269873	ns
Heart	ko02020	Two-component system	C00025|L-Glutamate	1	53	0.0189	0.408180562	ns
Heart	ko00051	Fructose and mannose metabolism	C00095|D-(-)-Fructose	1	55	0.0182	0.419829902	ns
Heart	ko00760	Nicotinate and nicotinamide metabolism	C00003|脦虏-Nicotinamide Adenine Dinucleotide	1	55	0.0182	0.419829902	ns
Heart	ko00860	Porphyrin metabolism	C00037|Glycine, C00025|L-Glutamate	2	148	0.0135	0.428381112	ns
Heart	ko00999	Biosynthesis of various plant secondary metabolites	C00082|Tyrosine, C00073|Methionine	2	149	0.0134	0.431770487	ns
Heart	ko00940	Phenylpropanoid biosynthesis	C00082|Tyrosine	1	58	0.0172	0.436882006	ns
Heart	ko01059	Biosynthesis of enediyne antibiotics	C00082|Tyrosine	1	63	0.0159	0.464212552	ns
Heart	ko01120	Microbial metabolism in diverse environments	C00065|Serine, C00037|Glycine, C00094|Sulfite, C03283|L-2,4-diaminobutyric acid, C00956|2-Aminoadipic acid, C05682|Phosphonoacetic acid, C00095|D-(-)-Fructose, C06103|6-Hydroxyhexanoic acid, C00258|Glyceric acid, C00408|L-Pipecolic acid, C00025|L-Glutamate	11	1072	0.0103	0.487052968	ns
Heart	ko00330	Arginine and proline metabolism	C00025|L-Glutamate	1	69	0.0145	0.495290189	ns
Heart	ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	C00082|Tyrosine	1	71	0.0141	0.505249762	ns
Heart	ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	C00408|L-Pipecolic acid	1	72	0.0139	0.510156762	ns
Heart	ko00524	Neomycin, kanamycin and gentamicin biosynthesis	C00025|L-Glutamate	1	81	0.0123	0.552218431	ns
Heart	ko00140	Steroid hormone biosynthesis	C18043|Cholesterol sulfate	1	99	0.0101	0.625960634	ns
Heart	ko00950	Isoquinoline alkaloid biosynthesis	C00082|Tyrosine	1	131	0.0076	0.728710878	ns
Heart	ko01220	Degradation of aromatic compounds	C06103|6-Hydroxyhexanoic acid	1	263	0.0038	0.929136898	ns
Kidney	ko01100	Metabolic pathways	C01035|4-GUANIDINOBUTANOATE, C06231|L-Ectoine, C01762|Xanthosine, C05512|2'-Deoxyinosine, C01235|Galactinol, C03366|5-phosphonooxy-L-lysine, C00065|Serine, C00085|Neuberg ester, C00532|L-Arabitol, C03033|Indoxyl glucuronide, C02946|4-Acetamidobutyric acid, C00168|脦虏-Hydroxypyruvic acid, C01103|Orotidine, C02632|Isobutyrate, C01089|3R-hydroxy-butanoic acid, C10208|Daidzein, C01262|L-Anserine, C04225|cis-2-Methylaconitate, C00470|Pectic acid, C07086|Phenylacetic acid, C04442|2-Keto-3-deoxy-6-phosphogluconic acid, C16741|5-Hydroxylysine, C00090|Pyrocatechol, C00099|beta-Alanine, C01042|N-Acetylaspartate, C01092|8-Amino-7-oxononanoic acid, C15650|5-(Methylthio)-2,3-dioxopentyl phosphate, C06575|p-Cymene, C02266|D-Xylono-1,5-lactone, C00371|Zeatin, C01172|beta-D-Glucose 6-phosphate, C04823|SAICAR, C00267|脦卤-D-Glucose, C00430|5-Aminolevulinic acid, C00168|Hydroxypyruvic acid	35	3065	0.0114	1.54E-07	****
Kidney	ko01200	Carbon metabolism	C00065|Serine, C00085|Neuberg ester, C00168|脦虏-Hydroxypyruvic acid, C04442|2-Keto-3-deoxy-6-phosphogluconic acid, C01172|beta-D-Glucose 6-phosphate, C00267|脦卤-D-Glucose, C00168|Hydroxypyruvic acid	7	114	0.0614	5.30E-06	****
Kidney	ko00260	Glycine, serine and threonine metabolism	C06231|L-Ectoine, C00065|Serine, C00168|脦虏-Hydroxypyruvic acid, C00430|5-Aminolevulinic acid, C00168|Hydroxypyruvic acid	5	48	0.1042	1.02E-05	****
Kidney	ko00040	Pentose and glucuronate interconversions	C00532|L-Arabitol, C03033|Indoxyl glucuronide, C00470|Pectic acid, C02266|D-Xylono-1,5-lactone	4	59	0.0678	0.000458636	***
Kidney	ko00010	Glycolysis / Gluconeogenesis	C00085|Neuberg ester, C01172|beta-D-Glucose 6-phosphate, C00267|脦卤-D-Glucose	3	31	0.0968	0.000891398	***
Kidney	ko01120	Microbial metabolism in diverse environments	C06231|L-Ectoine, C00065|Serine, C00085|Neuberg ester, C00168|脦虏-Hydroxypyruvic acid, C02632|Isobutyrate, C00971|4-Pyridoxolactone, C07086|Phenylacetic acid, C04442|2-Keto-3-deoxy-6-phosphogluconic acid, C00090|Pyrocatechol, C11006|2,4-Dinitrotoluene, C06575|p-Cymene, C01172|beta-D-Glucose 6-phosphate, C00267|脦卤-D-Glucose, C00430|5-Aminolevulinic acid, C00168|Hydroxypyruvic acid	15	1072	0.014	0.001254109	**
Kidney	ko01065	Biosynthesis of alkaloids derived from histidine and purine	C01762|Xanthosine, C00085|Neuberg ester, C00267|脦卤-D-Glucose	3	35	0.0857	0.001275747	**
Kidney	ko00030	Pentose phosphate pathway	C00085|Neuberg ester, C04442|2-Keto-3-deoxy-6-phosphogluconic acid, C01172|beta-D-Glucose 6-phosphate	3	37	0.0811	0.001501531	**
Kidney	ko02010	ABC transporters	C01762|Xanthosine, C05512|2'-Deoxyinosine, C00065|Serine, C00470|Pectic acid, C00430|5-Aminolevulinic acid	5	138	0.0362	0.001530339	**
Kidney	ko01060	Biosynthesis of plant secondary metabolites	C00065|Serine, C00085|Neuberg ester, C00371|Zeatin, C00267|脦卤-D-Glucose, C00430|5-Aminolevulinic acid	5	141	0.0355	0.001683625	**
Kidney	ko00680	Methane metabolism	C00065|Serine, C00085|Neuberg ester, C00168|脦虏-Hydroxypyruvic acid, C00168|Hydroxypyruvic acid	4	88	0.0455	0.002063835	**
Kidney	ko00052	Galactose metabolism	C01235|Galactinol, C00085|Neuberg ester, C00267|脦卤-D-Glucose	3	46	0.0652	0.002822052	**
Kidney	ko04974	Protein digestion and absorption	C00065|Serine, C02632|Isobutyrate, C00099|beta-Alanine	3	47	0.0638	0.003001533	**
Kidney	ko00630	Glyoxylate and dicarboxylate metabolism	C00065|Serine, C00168|脦虏-Hydroxypyruvic acid, C00168|Hydroxypyruvic acid	3	64	0.0469	0.007169666	**
Kidney	ko04152	AMPK signaling pathway	C00085|Neuberg ester, C01172|beta-D-Glucose 6-phosphate	2	22	0.0909	0.008074513	**
Kidney	ko04922	Glucagon signaling pathway	C00085|Neuberg ester, C01172|beta-D-Glucose 6-phosphate	2	26	0.0769	0.011183489	*
Kidney	ko01240	Biosynthesis of cofactors	C00065|Serine, C03033|Indoxyl glucuronide, C01103|Orotidine, C00099|beta-Alanine, C01092|8-Amino-7-oxononanoic acid, C00430|5-Aminolevulinic acid	6	328	0.0183	0.014950469	*
Kidney	ko00410	beta-Alanine metabolism	C01262|L-Anserine, C00099|beta-Alanine	2	32	0.0625	0.016671716	*
Kidney	ko05230	Central carbon metabolism in cancer	C00065|Serine, C00085|Neuberg ester	2	37	0.0541	0.021953083	*
Kidney	ko00230	Purine metabolism	C01762|Xanthosine, C05512|2'-Deoxyinosine, C04823|SAICAR	3	101	0.0297	0.024487296	*
Kidney	ko00640	Propanoate metabolism	C04225|cis-2-Methylaconitate, C00099|beta-Alanine	2	41	0.0488	0.026611273	*
Kidney	ko01061	Biosynthesis of phenylpropanoids	C00085|Neuberg ester, C10208|Daidzein, C00267|脦卤-D-Glucose	3	106	0.0283	0.027751239	*
Kidney	ko00340	Histidine metabolism	C01262|L-Anserine, C05135|N-Acetylhistamine	2	47	0.0426	0.034272364	*
Kidney	ko01066	Biosynthesis of alkaloids derived from terpenoid and polyketide	C00085|Neuberg ester, C00267|脦卤-D-Glucose	2	48	0.0417	0.035623863	*
Kidney	ko00051	Fructose and mannose metabolism	C00085|Neuberg ester, C00267|脦卤-D-Glucose	2	55	0.0364	0.045642853	*
Kidney	ko00310	Lysine degradation	C03366|5-phosphonooxy-L-lysine, C16741|5-Hydroxylysine	2	56	0.0357	0.047150491	*
Kidney	ko00564	Glycerophospholipid metabolism	C00065|Serine, C04230|LysoPC(18:4(6Z,9Z,12Z,15Z)/0:0)	2	56	0.0357	0.047150491	*
Kidney	ko01232	Nucleotide metabolism	C01762|Xanthosine, C05512|2'-Deoxyinosine	2	58	0.0345	0.050220244	ns
Kidney	ko00240	Pyrimidine metabolism	C01103|Orotidine, C00099|beta-Alanine	2	64	0.0312	0.05984598	ns
Kidney	ko00270	Cysteine and methionine metabolism	C00065|Serine, C15650|5-(Methylthio)-2,3-dioxopentyl phosphate	2	67	0.0299	0.06488019	ns
Kidney	ko00997	Biosynthesis of various other secondary metabolites	C00065|Serine, C00085|Neuberg ester	2	67	0.0299	0.06488019	ns
Kidney	ko01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid	C00085|Neuberg ester, C00267|脦卤-D-Glucose	2	67	0.0299	0.06488019	ns
Kidney	ko05231	Choline metabolism in cancer	C04230|LysoPC(18:4(6Z,9Z,12Z,15Z)/0:0)	1	11	0.0909	0.066460247	ns
Kidney	ko01070	Biosynthesis of plant hormones	C00371|Zeatin, C00267|脦卤-D-Glucose	2	68	0.0294	0.066589359	ns
Kidney	ko00330	Arginine and proline metabolism	C01035|4-GUANIDINOBUTANOATE, C02946|4-Acetamidobutyric acid	2	69	0.029	0.068313666	ns
Kidney	ko04075	Plant hormone signal transduction	C00371|Zeatin	1	12	0.0833	0.072283951	ns
Kidney	ko01220	Degradation of aromatic compounds	C02632|Isobutyrate, C00090|Pyrocatechol, C11006|2,4-Dinitrotoluene, C06575|p-Cymene	4	263	0.0152	0.079410236	ns
Kidney	ko04071	Sphingolipid signaling pathway	C00065|Serine	1	15	0.0667	0.089543338	ns
Kidney	ko04964	Proximal tubule bicarbonate reclamation	C00267|脦卤-D-Glucose	1	17	0.0588	0.100875244	ns
Kidney	ko04148	Efferocytosis	C04230|LysoPC(18:4(6Z,9Z,12Z,15Z)/0:0)	1	18	0.0556	0.10648951	ns
Kidney	ko04931	Insulin resistance	C00085|Neuberg ester	1	19	0.0526	0.112069591	ns
Kidney	ko00710	Carbon fixation in photosynthetic organisms	C00085|Neuberg ester	1	21	0.0476	0.123128008	ns
