Module	Tissue	mean_Aged	mean_Young	FC	pvalue
PM2	Kidney	-0.040683516	-0.040081145	1.015028775	0.49523422
PM2	Liver	-0.032452657	-0.033371943	0.972453349	0.093335076
PM2	Lung	-0.006474684	-0.006713902	0.964369786	0.944397273
PM2	Muscle	-0.065626142	-0.067815182	0.967720499	0.03035214
PM2	Pancrea	-0.052995422	-0.052314018	1.013025266	0.323957773
PM2	Skin	-0.059693293	-0.05956307	1.002186309	0.394885568
PM2	Small int	-0.014156587	-0.009720677	1.45633752	0.028920253
PM2	Spinal cord	0.21875533	0.21514513	1.016780301	0.50110538
PM2	Spleen	0.000549119	0.002787768	0.196974443	0.089969979
PM2	Testis	0.02617229	0.026315778	0.994547444	0.971808179
PM2	Thymus	0.003723961	0.009178452	0.405728706	0.000889529
PM2	WAT	-0.014482961	-0.021069488	0.687390236	0.000297826
PM20	BAT	-0.04996956	-0.050606421	0.987415411	0.546497769
PM20	Beige fat	0.000049385	-0.001310892	-0.037672836	0.437241249
PM20	Bladder	0.002730982	0.000948974	2.877825189	0.580580506
PM20	Bone	-0.018790567	-0.027642766	0.679764346	0.140892163
PM20	Brain	-0.008177012	-0.008658933	0.944344068	0.850665355
PM20	Cerebellum	-0.029102745	-0.030052925	0.968383135	0.124807988
PM20	Colon	0.163358259	0.197958965	0.825212733	0.169721588
PM20	Eye	-0.07587579	-0.077961432	0.973247766	0.001304807
PM20	Heart	-0.04566566	-0.044164177	1.033997741	0.191300035
PM20	Kidney	-0.033740509	-0.032521187	1.037493135	0.313619426
PM20	Liver	0.045123896	0.042478468	1.062276923	0.376617765
PM20	Lung	0.00537095	0.002174934	2.46947735	0.424258191
PM20	Muscle	-0.082101515	-0.083354544	0.984967478	0.068636162
PM20	Pancrea	-0.037940202	-0.037679371	1.006922382	0.808807105
PM20	Skin	-0.050301353	-0.050290077	1.000224219	0.985830128
PM20	Small int	0.227772519	0.268824103	0.847292027	0.063810343
PM20	Spinal cord	-0.038738112	-0.038457395	1.007299409	0.863998935
PM20	Spleen	0.016450206	0.017244446	0.953942287	0.803319265
PM20	Testis	-0.024628547	-0.020617148	1.194566159	0.164146714
PM20	Thymus	0.018508436	0.02113379	0.875774555	0.646838301
PM20	WAT	-0.013131235	-0.018648227	0.7041546	0.001048314
PM21	BAT	-0.021665453	-0.028354039	0.764104653	0.028934845
PM21	Beige fat	-0.016548499	-0.028919747	0.572221413	0.044084222
PM21	Bladder	-0.020795591	-0.025511353	0.815150457	0.122384154
PM21	Bone	-0.055717576	-0.058280221	0.95602892	0.304115238
PM21	Brain	-0.016527039	-0.017346397	0.952764959	0.553387224
