Module	Tissue	mean_Aged	mean_Young	FC	pvalue
MM5	Lung	-0.013045473	-0.008289787	1.573680215	0.36505593
MM5	Muscle	-0.027692768	-0.025012546	1.107155104	0.229977436
MM5	Pancrea	-0.002444982	-0.011267427	0.216995615	0.15219191
MM5	Skin	-0.020906555	-0.028335541	0.737820929	0.045908149
MM5	Small int	0.366823889	0.302574484	1.212342444	0.265139167
MM5	Spinal cord	-0.020159033	-0.022132943	0.910815736	0.357002937
MM5	Spleen	-0.003167829	-0.002346058	1.350277609	0.77974585
MM5	Testis	-0.01821741	-0.016248262	1.121191304	0.518924265
MM5	Thymus	0.00357768	-0.004991921	-0.716693898	0.120516336
MM5	WAT	-0.010442476	-0.007163377	1.457758852	0.352341633
MM6	BAT	0.002420946	0.015749272	0.153717928	0.157107039
MM6	Beige fat	0.087650997	0.167249092	0.524074578	0.031791216
MM6	Bladder	-0.009575655	-0.009925747	0.964728925	0.957107552
MM6	Bone	-0.046727508	-0.043070692	1.084902653	0.049328597
MM6	Brain	-0.04037491	-0.041525172	0.972299639	0.328723192
MM6	Cerebellum	-0.025388615	-0.024334126	1.043333763	0.578884413
MM6	Colon	-0.042640744	-0.039014295	1.092951782	0.082446993
MM6	Eye	-0.038073662	-0.02617812	1.45440777	0.048785967
MM6	Heart	-0.015785608	-0.016810769	0.939017587	0.823512575
MM6	Kidney	-0.013288786	-0.006655168	1.996761877	0.477920525
